Word,ValenceMean,ValenceSD,%ValenceRaters ,ArousalMean,ArousalSD,%ArousalRaters
ábaco,5.35,1.06,85,4.78,1.52,90
abad,4.71,1.27,70,5,0.85,60
abadesa,4.54,1.45,65,4.54,0.97,65
abadía,5.26,1.48,95,4.18,1.59,85
abajo,4.85,1.14,100,3.85,1.66,100
abalanzar,4.8,1.61,100,6,1.21,100
abanderado,5.32,1.2,95,5.68,1.7,95
abandonado,1.93,1.12,100,5.85,1.49,100
abandonar,2.55,1.32,100,6.65,1.5,100
abandono,2.3,1.22,100,7,1.81,100
abanico,6.15,0.99,100,3.65,1.42,100
abarca,5.15,1.18,100,5.05,0.89,100
abarcar,5.65,1.27,100,5.15,1.9,100
abarque,5.58,1.22,95,5.06,0.87,90
abastecer,6.5,1.47,100,4.95,1.67,100
abastecimiento,6.25,1.59,100,4.25,1.55,100
abasto,5.12,1.32,85,4.94,1.48,80
abate,5.1,1.52,50,4.92,1.89,65
abatimiento,2.8,1.32,100,3.8,2.04,100
abatir,4,1.75,100,5.8,1.61,100
abdicación,5.35,1.04,100,5.5,1.43,100
abdicar,4.8,1.36,100,5.3,1.08,100
abdomen,5.05,0.6,100,5.15,1.46,100
abdominal,6.3,1.34,100,6,1.26,100
abedul,5.89,1.45,90,4.12,1.41,85
abeja,4.75,1.71,100,6.35,1.93,100
abejas,4.7,2.27,100,6.65,1.63,100
abejorro,3.9,1.52,100,6.6,1.1,100
aberración,2.15,0.99,100,7.05,1.54,100
abertura,5.3,0.8,100,5,1.26,100
abeto,6.45,1.39,100,3.8,2.14,100
abierta,6.7,1.66,100,5.65,1.57,100
abierto,6.35,1.23,100,4.8,1.79,100
abismo,3.3,1.95,100,6.85,1.53,100
abnegación,3.47,1.33,85,5.08,1.38,65
abogacía,4.8,1.15,100,5.26,1.37,95
abogada,6.1,1.37,100,4.75,1.74,100
abogado,4.5,1.19,100,5.25,1.16,100
abogar,4.89,1.41,95,4.95,1.5,100
abolengo*,3,2.83,10,4.75,0.71,40
abolición,4.35,2.37,100,6.15,1.63,100
abolir,4.65,1.46,100,5.88,1.62,85
abolladura,3.35,1.57,100,5.95,1.28,100
abominable,3.37,1.86,95,6.45,1.76,100
abonar,5.3,2.03,100,5.8,1.36,100
abono,6.15,1.66,100,4.65,1.81,100
abordaje,4.45,1.5,100,5.6,1.14,100
abordar,5.55,1.39,100,5.55,1.19,100
abordo,5.4,1.1,100,5.05,1.39,100
aborigen,5.56,1.29,90,5.65,0.79,85
abortar,3.11,1.76,95,7.2,1.2,100
aborto,2.85,1.63,100,7.4,1.39,100
abra,5.83,1.04,90,5.05,1.22,95
abrasador,3.85,1.98,100,6.33,1.75,100
abrazar,8.45,1.15,100,4.25,3.08,100
abrazo,8.5,0.93,100,4,2.9,100
abre,6.5,1.32,100,4.9,1.33,100
abrebotellas,5.9,1.33,100,5,1.17,100
abrelatas,5.15,0.37,100,4.35,1.63,100
abreviación,5.3,0.92,100,4.1,1.62,100
abreviar,5.5,0.61,100,4.6,1.39,100
abreviatura,5.4,0.75,100,4.8,0.77,100
abridor,5.2,0.52,100,5.05,0.6,100
abrigar,6.25,1.83,100,3.55,2.26,100
abrigo,6.65,1.09,100,4.2,1.2,100
abril,6.7,1.17,100,5.1,2.05,100
abrir,6.25,1.52,100,5.55,0.89,100
abriré,6.2,1.11,100,5.5,1.79,100
abriría,5.42,1.17,95,5.56,0.78,90
abro,5.11,0.32,90,4.67,1.08,90
abrumado,3.9,1.48,100,6.5,1.55,100
abrumadora,3.75,1.41,100,6.5,1.36,100
abrupto,4.5,0.79,90,6.59,1.46,85
absenta,4.89,1.45,95,6.4,1.43,100
absolución,5.15,1.42,100,5.05,1.99,100
absolutismo,3.6,1.23,100,5.45,1.57,100
absolutista,3.45,1.47,100,6.1,1.65,100
absoluto,4.85,1.18,100,6.55,1.43,100
absorbente,4.7,1.38,100,5.5,1.57,100
absorber,4.9,1.29,100,5.2,1.24,100
absorción,4.55,1.15,100,5.3,1.38,100
absorto,4.95,0.23,95,4.56,1.72,90
abstención,4.16,0.9,95,5.68,1.2,95
abstener,4.25,1.48,100,4.85,1.23,100
abstinencia,4,1.17,100,5.55,1.05,100
abstracción,5,1.03,100,4.65,1.27,100
abstracto,4.95,1.19,100,5.55,1.9,100
absurdo,3.7,1.3,100,5.85,1.79,100
abuela,8.05,1.05,100,4.5,2.46,100
abuelo,8.5,0.95,100,4.4,3.08,100
abundancia,6.88,1.64,100,5.2,2.31,100
abundante,6.5,1.19,100,5.5,1.5,100
abundar,6.5,1.24,100,5.25,2.07,100
aburrido,2.9,1.29,100,3.1,1.83,100
aburrimiento,2.7,1.26,100,3.8,2.09,100
aburrir,2.9,0.91,100,4.2,2.26,100
abusar,2.25,0.97,100,7.4,1.76,100
abusivo,2.25,1.02,100,7,1.12,100
abuso,1.7,0.8,100,7.9,1.21,100
acabar,5.45,2.06,100,5.75,1.97,100
acacia,5.53,0.99,75,4.7,0.67,50
academia,4.85,1.39,100,5.25,1.68,100
académico,6.35,1.42,100,5.75,0.97,100
acallar,4.94,0.8,90,5.4,0.63,75
acampar,6.4,1.43,100,5.8,1.54,100
acantilado,5.65,1.81,100,6.4,2.3,100
acariciar,7.45,0.94,100,2.8,2.35,100
ácaro,3.9,1.12,100,5.7,1.49,100
acarrear,3.9,1.17,100,6.35,1.31,100
acaso,4.89,0.32,95,4.67,0.97,90
acatamiento,4,1.17,100,5.95,1.15,100
acatar,3.85,1.69,100,6.05,1.03,95
acceder,6.25,1.29,100,5.65,0.93,100
accesibilidad,6.45,1.39,100,4.6,1.93,100
accesible,6.85,0.88,100,4.4,1.14,100
acceso,6.35,1.42,100,5.25,1.52,100
accesorio,6,1.3,100,4.9,0.97,100
accidental,3.9,1.17,100,6.55,1.54,100
accidente,2.13,1.3,100,7.65,1.27,100
acción,6,1.34,100,6.55,1.32,100
accionar,5.6,0.94,100,5.5,1,100
accionariado*,5,1.04,60,5.22,0.44,45
accionarial,4.5,1.09,70,5.13,1.02,80
acciones,5.65,1.04,100,5.55,1.5,100
accionista,5.25,1.29,100,6.32,1.25,95
acebo,5.5,0.9,60,4.31,1.49,65
acechar,3.9,0.97,100,6,1.72,100
acecho,3.55,1.57,100,6.9,1.12,100
aceite,5.6,1.23,100,4.7,1.22,100
aceleración,5.65,1.6,100,6.95,1.23,100
acelerador,5.55,1.36,100,7.35,1.69,100
acelerar,5.55,1.39,100,6.4,1.7,100
acento,6.35,1.42,100,5.2,1.36,100
acentuación,5.45,1.7,100,5.4,0.99,100
acentuar,5.95,1.32,100,5.6,1.14,100
acepción,5.29,1.16,85,3.94,2.21,90
aceptable,5.85,1.76,100,4.55,1.36,100
aceptación,6.9,2.15,100,3.8,2.26,100
aceptar,6.4,1.1,100,4.95,1.85,100
acepto,5.2,0.77,100,4.74,1.52,95
acequia,5.7,1.87,100,4.35,1.69,100
acera,5.3,0.8,100,4.35,1.18,100
acercamiento,6.8,1.15,100,5.6,1.73,100
acercar,6.55,1.36,100,4.85,1.9,100
acero,5.3,0.92,100,5,0.92,100
acertada,7.05,1.54,100,5.25,1.65,100
acertar,7.75,1.29,100,6.8,1.88,100
acertijo,5.9,1.33,100,5.5,1.67,100
acervo*,4.56,0.88,45,5,1.67,30
achacar,3.89,0.74,95,5.53,1.5,95
achicoria*,5.67,1.37,30,5,0.53,40
acicate*,5.57,1.13,35,5.13,0.35,40
acidez,3.45,1.19,100,6.3,1.75,100
ácido,4.25,1.46,100,6.15,1.53,100
acierto,7.55,1.15,100,5.5,2.44,100
aclamación,6,1.12,100,6,1.41,100
aclaración,6.85,0.88,100,4.7,2.13,100
aclarar,6.35,1.14,100,4.3,1.66,100
acne,2.9,1.41,100,6.3,1.13,100
acogedor,8.15,0.99,100,2.98,1.83,100
acoger,7,1.41,100,3.9,1.41,100
acogida,6.75,1.52,100,4.15,2.01,100
acometer,4.55,1.47,100,6.32,1.25,95
acometida,4.95,1.39,100,5.33,0.59,90
acomodar,6.65,1.9,100,3.1,1.29,100
acomodo,5.53,0.9,95,4.28,2.14,90
acompañamiento,7.35,1.42,100,3.75,1.59,100
acompañante,6.25,1.59,100,4.7,1.81,100
