Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Catalan,1,465,Probe List,place,1,pharmacy,farmacia,farmàcia,3,5.836,8,6.39,6.39,8.8942,14309,5147,8,3.4314,NaN,NaN,NaN,8,3,4,8,8.40915,431
Trained in Catalan,1,400,Probe List,food/fruit,1,watermelon,sandía,síndria,3,2,6,2,2,2.2837,3017,2322,10,2.1961,NaN,NaN,NaN,6,NaN,3,7,1.63891,84
Trained in Catalan,1,323,Probe List,transportation,1,airplane,avión,avió,2,5.81,5,6.249,6.249,123.0529,65364,11115,8,10.9216,NaN,NaN,NaN,5,2,3,4,9.63833,494
Trained in Catalan,2,313,Probe List,object,1,needle,aguja,agulla,3,5.93,5,5.875,5.875,11.226,11930,9273,6,11.9216,NaN,NaN,NaN,5,2,3,6,22.9642,1177
Trained in Catalan,2,453,Probe List,electronics,1,tablet,tableta/tablet,tauleta,2.5,2,6.5,2,2,NaN,NaN,10170,6,1.4902,NaN,NaN,NaN,6.5,2,3,7,13.599,697
Untrained,1,271,Probe List,food/fruit,1,cherry,cereza,cirera,3,2,6,2,2,4.8317,2520,11529,6,13.5882,611,514,582,6,2,3,6,3.31684,170
Untrained,1,182,Probe List,hygene product/ health,0,brush,cepillo,raspall,3,6.003,7,5.499,5.499,9.4712,6854,19467,5,14.1569,589,579,570,7,1,2,7,3.21928,165
Untrained,2,428,Probe List,food/veg,2,potatos,patatas,patatas,3,2,7,2,2,8.125,9547,32,7,NaN,NaN,NaN,NaN,7,3,NaN,7,2.79004,143
Untrained,2,161,Probe List,sports,1,basketball,bàsquet/baloncesto/básquebol,bàsquet,2.666666667,3.424,8.666666667,3.524333333,3.524333333,NaN,NaN,39812,10,21.3922,NaN,NaN,NaN,8.666666667,NaN,2,7,1.46331,75
Untrained,2,7,Probe List,object,0,Sewer,Alcantarilla,Claveguera,2,2,12,2,2,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,12,2,NaN,10,NaN,NaN
