Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Catalan,1,465,Probe List,place,1,pharmacy,farmacia,farmàcia,3.0,5.836,8.0,6.39,6.39,8.8942,14309.0,5147.0,8,3.4314,NaN,NaN,NaN,8.0,3.0,4.0,8.0,8.40915,431.0
Trained in Catalan,1,400,Probe List,food/fruit,1,watermelon,sandía,síndria,3.0,2.0,6.0,2.0,2.0,2.2837,3017.0,2322.0,10,2.1961,NaN,NaN,NaN,6.0,NaN,3.0,7.0,1.63891,84.0
Trained in Catalan,1,323,Probe List,transportation,1,airplane,avión,avió,2.0,5.81,5.0,6.249,6.249,123.0529,65364.0,11115.0,8,10.9216,NaN,NaN,NaN,5.0,2.0,3.0,4.0,9.63833,494.0
Trained in Catalan,1,271,Probe List,food/fruit,1,cherry,cereza,cirera,3.0,2.0,6.0,2.0,2.0,4.8317,2520.0,11529.0,6,13.5882,611.0,514.0,582.0,6.0,2.0,3.0,6.0,3.31684,170.0
Trained in Catalan,1,182,Probe List,hygene product/ health,0,brush,cepillo,raspall,3.0,6.003,7.0,5.499,5.499,9.4712,6854.0,19467.0,5,14.1569,589.0,579.0,570.0,7.0,1.0,2.0,7.0,3.21928,165.0
Untrained,2,7,Probe List,object,0,Sewer,Alcantarilla,Claveguera,2.0,2.0,12.0,2.0,2.0,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,12.0,2.0,NaN,10.0,NaN,NaN
Untrained,2,428,Probe List,food/veg,2,potatos,patatas,patatas,3.0,2.0,7.0,2.0,2.0,8.125,9547.0,32.0,7,NaN,NaN,NaN,NaN,7.0,3.0,NaN,7.0,2.79004,143.0
Untrained,2,161,Probe List,sports,1,basketball,bàsquet/baloncesto/básquebol,bàsquet,2.666666667,3.424,8.666666667,3.524333333,3.524333333,NaN,NaN,39812.0,10,21.3922,NaN,NaN,NaN,8.666666667,NaN,2.0,7.0,1.46331,75.0
Untrained,2,313,Probe List,object,1,needle,aguja,agulla,3.0,5.93,5.0,5.875,5.875,11.226,11930.0,9273.0,6,11.9216,NaN,NaN,NaN,5.0,2.0,3.0,6.0,22.9642,1177.0
Untrained,2,453,Probe List,electronics,1,tablet,tableta/tablet,tauleta,2.5,2.0,6.5,2.0,2.0,NaN,NaN,10170.0,6,1.4902,NaN,NaN,NaN,6.5,2.0,3.0,7.0,13.599,697.0
Trained in Spanish,3,297,Probe List,accessory,2,bracelet,pulsera/brazalete,pulsera/braçalet,3.5,3.977,8.0,6.0895,6.0895,NaN,NaN,4235.0,8,7.8039,602.0,547.0,606.0,8.0,2.0,NaN,7.5,NaN,NaN
Trained in Spanish,3,420,Probe List,object,1,easel,caballete,cavallet,4.0,6.009,9.0,5.987,5.987,NaN,723.0,1326.0,5,NaN,580.0,349.0,532.0,9.0,2.0,3.0,8.0,3.04368,156.0
Trained in Spanish,3,217,Probe List,place,2,Cabin,Cabaña,Cabanya,2.0,2.0,6.0,2.0,2.0,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,6.0,2.0,NaN,7.0,NaN,NaN
Trained in Spanish,3,301,Probe List,object,1,microscope,microscopio,microscopi,4.0,6.011,11.0,6.69,6.69,2.8365,5836.0,3853.0,10,2.5294,591.0,493.0,617.0,11.0,3.0,4.0,10.0,5.58009,286.0
Trained in Spanish,3,208,Probe List,food/veg,1,Zucchini,Calabacín/calabaza,Carabassó,3.0,2.0,8.5,2.0,2.0,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,8.5,3.0,NaN,9.0,NaN,NaN
Untrained,4,28,Probe List,games,0,kite,cometa,estel,3.0,6.066,6.0,5.618,5.618,8.1731,12841.0,2519.0,4,2.2941,592.0,481.0,624.0,6.0,1.0,2.0,5.0,18.8669,967.0
Untrained,4,284,Probe List,animal,1,horse,caballo,cavall,3.0,6.648,7.0,6.228,6.228,62.1635,46523.0,44581.0,5,92.8824,613.0,560.0,624.0,7.0,1.0,2.0,6.0,80.1504,4108.0
Untrained,4,215,Probe List,hygiene product/health,1,Nail file,Lima,lima,2.0,2.0,4.0,2.0,2.0,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,4.0,3.0,2.0,4.0,NaN,NaN
Untrained,4,213,Probe List,transportation,1,Tow,Remolque/grúa,Remolc,2.0,2.0,6.0,2.0,2.0,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,6.0,1.0,NaN,6.0,NaN,NaN
