Ttests: Across Languages- Eng vs. Spanish,Number of letters,Clearpond_Frequency across languages,Freq_COCA
"S1,2",0.5868251407386071,0.22986673977841368,0.19741349635706631
"S1,3",0.5673451899023805,0.1898171549387918,0.2228757910678401
"S1,4",0.7222548342032653,0.21334434273623962,0.20571295155897637
"S1,5",0.47499800585766283,0.9258134884722296,0.5337635974806845
"S1,6",0.186904810349332,0.48531272894976607,0.5368628011734236
"S1,7",0.9479019126432897,0.7338803216829382,0.5143878737021311
"S1,8",0.615162001965293,0.3431789334836513,0.19379905208012826
"S2,1",0.5868251407386071,,
"S2,3",0.8891849253175348,,
"S2,4",0.41169443182590626,,
"S2,5",0.7097312498477804,,
"S2,6",0.44076576512240095,,
"S2,7",0.6560287519549326,,
"S2,8",0.8461337800517197,,
"S3,1",0.5673451899023805,0.17681701815515308,0.09517555349033464
"S3,2",0.8891849253175348,0.40904286419938185,0.2734870273277397
"S3,4",0.4143406371640833,0.27256348899729627,0.12641439389120307
"S3,5",0.8146849606624769,0.1864215218678129,0.1160016035762742
"S3,6",0.7035873883284617,0.22458346136241675,0.10815724842418006
"S3,7",0.6207847623155881,0.26185131495467995,0.0964070033142172
"S3,8",0.9288155781051889,0.25027016962564275,0.12626895981611333
"S4,1",0.7222548342032653,0.35938728265974856,0.12254765544667055
"S4,2",0.41169443182590626,0.6244546755665648,0.7063486804298018
"S4,3",0.4143406371640833,0.36571288283422,0.4338989344832854
"S4,5",0.36011523171805687,0.451507832049041,0.4154406361446179
"S4,6",0.15158371096500142,0.8211190465215326,0.27977778472548975
"S4,7",0.6905684275192012,0.4594510437374484,0.13334885961771706
"S4,8",0.48128363671738705,0.9684055873782673,0.5965119053988563
"S5,1",0.47499800585766283,0.9859267963787346,0.31152577893243977
"S5,2",0.7097312498477804,0.22744219172563818,0.2841872398176996
"S5,3",0.8146849606624769,0.2174143183197939,0.296266137740986
"S5,4",0.36011523171805687,0.21294458296213972,0.29112232478329364
"S5,6",1.0,0.34969429034952015,0.7498336487623578
"S5,7",0.5150319220482494,0.8169321328288952,0.40379333830944003
"S5,8",0.9142652981798944,0.27526174469829207,0.31982474654094967
"S6,1",0.186904810349332,0.4528401075733022,0.314832879269419
"S6,2",0.44076576512240095,0.4248683539656757,0.35773912397512625
"S6,3",0.7035873883284617,0.3079979428806012,0.3717383179052982
"S6,4",0.15158371096500142,0.3864675151191203,0.3528692893358666
"S6,5",1.0,0.6320452902682635,0.6805575690174035
"S6,7",0.2543908070667781,0.5691517940028358,0.4354953971536911
"S6,8",0.8893740251728112,0.6403052309716839,0.35114163659130965
"S7,1",0.9479019126432897,,0.6903983202253625
"S7,2",0.6560287519549326,,0.29757472299630144
"S7,3",0.6207847623155881,,0.33946467825295296
"S7,4",0.6905684275192012,,0.280747897984476
"S7,5",0.5150319220482494,,0.46413372307179235
"S7,6",0.2543908070667781,,0.32600604980159964
"S7,8",0.6511180012064293,,0.19755583634744173
"S8,1",0.615162001965293,0.2621284396147715,0.11100951288672793
"S8,2",0.8461337800517197,0.6683568686482654,0.7150661437797655
"S8,3",0.9288155781051889,0.4274121035485273,0.5339131718767509
"S8,4",0.48128363671738705,0.6254267935250022,0.7874522430567217
"S8,5",0.9142652981798944,0.35665987518574566,0.502872611456765
"S8,6",0.8893740251728112,0.7524527047709966,0.3079438815130387
"S8,7",0.6511180012064293,0.3657056726354898,0.12247601011428641
