Ttests Within Languages_English,MRC Imageability,MRC Concretness,MRC Familiarity,MRC N_of_Letters,MRC_Number of Syllables,Clearpond lexical frequency
"S1,2",,,,0.30198025140007145,0.6202199660794111,0.628997812314733
"S1,3",,,,0.05886542266916159,0.40708382206558924,
"S1,4",,,,0.4208063921483509,0.3338991406915331,
"S1,5",,,,0.5116201713502767,1.0,0.6561731036925122
"S1,6",,,,0.4608560143074205,0.35591768374958205,0.9246754508685517
"S1,7",,,,0.0595548451117516,0.7979716952348508,0.7980187166053567
"S1,8",,,,0.37236398932726406,0.2274528180597631,0.32007257782533893
"S2,1",,,,0.30198025140007145,0.6202199660794111,0.628997812314733
"S2,3",,,,0.6560438296998011,0.6845283355605285,
"S2,4",,,,0.15402198387255384,0.13550322232892656,
"S2,5",,,,0.8171256357826745,0.29235199244023835,0.493727382622744
"S2,6",,,,0.7454289645955822,0.09716017883226885,0.7690221048552789
"S2,7",,,,0.744800208413585,0.9447929499136475,0.5626530130716727
"S2,8",,,,0.1463325518324556,0.04741486261705641,0.5680310197983895
"S3,1",,,,0.05886542266916159,0.40708382206558924,
"S3,2",,,,0.6560438296998011,0.6845283355605285,
"S3,4",,,,0.021086687064848952,0.06558767691472232,
"S3,5",,,,0.5071435878776298,0.14111328125000006,
"S3,6",,,,0.38955652906699156,0.04794477217962339,
"S3,7",,,,0.8560755194401932,0.7599229683487394,
"S3,8",,,,0.035656056720303364,0.02030009361988383,
"S4,1",,,,0.4208063921483509,0.3338991406915331,
"S4,2",,,,0.15402198387255384,0.13550322232892656,
"S4,3",,,,0.021086687064848952,0.06558767691472232,
"S4,5",,,,0.3016470810462944,0.17200329195191125,
"S4,6",,,,0.22958662056309942,0.8528538717240353,
"S4,7",,,,0.019114000763655128,0.290671256262974,
"S4,8",,,,0.7128472725842177,1.0,
"S5,1",,,,0.5116201713502767,1.0,0.6561731036925122
"S5,2",,,,0.8171256357826745,0.29235199244023835,0.493727382622744
"S5,3",,,,0.5071435878776298,0.14111328125000006,
"S5,4",,,,0.3016470810462944,0.17200329195191125,
"S5,6",,,,0.9549996252148587,0.08922429896478236,0.6687754765621331
"S5,7",,,,0.5733311257612439,0.7404394537249619,0.9012197338206798
"S5,8",,,,0.2598450452137845,0.03996852371395765,0.4114368280052207
"S6,1",,,,0.4608560143074205,0.35591768374958205,0.9246754508685517
"S6,2",,,,0.7454289645955822,0.09716017883226885,0.7690221048552789
"S6,3",,,,0.38955652906699156,0.04794477217962339,
"S6,4",,,,0.22958662056309942,0.8528538717240353,
"S6,5",,,,0.9549996252148587,0.08922429896478236,0.6687754765621331
"S6,7",,,,0.44924804623558623,0.3558195725017885,0.7850965807212125
"S6,8",,,,0.21072696847308822,0.7979716952348509,0.48577402322882274
"S7,1",,,,0.0595548451117516,0.7979716952348508,0.7980187166053567
"S7,2",,,,0.744800208413585,0.9447929499136475,0.5626530130716727
"S7,3",,,,0.8560755194401932,0.7599229683487394,
"S7,4",,,,0.019114000763655128,0.290671256262974,
"S7,5",,,,0.5733311257612439,0.7404394537249619,0.9012197338206798
"S7,6",,,,0.44924804623558623,0.3558195725017885,0.7850965807212125
"S7,8",,,,0.03717750088755859,0.24150397191305997,0.35424203031960927
"S8,1",,,,0.37236398932726406,0.2274528180597631,0.32007257782533893
"S8,2",,,,0.1463325518324556,0.04741486261705641,0.5680310197983895
"S8,3",,,,0.035656056720303364,0.02030009361988383,
"S8,4",,,,0.7128472725842177,1.0,
"S8,5",,,,0.2598450452137845,0.03996852371395765,0.4114368280052207
"S8,6",,,,0.21072696847308822,0.7979716952348509,0.48577402322882274
"S8,7",,,,0.03717750088755859,0.24150397191305997,0.35424203031960927
