Ttests Within Languages_Spanish,Espal_NSYL,Espal_NLET,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects
"S1,2",1.0,0.5868251407386071,Invalid,Invalid
"S1,3",0.6810571608718816,0.5673451899023805,0.13259174514051425,0.060860723646628236
"S1,4",0.6810571608718816,0.7222548342032653,0.42312567514814503,0.12858330269571525
"S1,5",0.6810571608718816,0.47499800585766283,0.5924194345925983,0.7582818559715622
"S1,6",0.24150397191306,0.186904810349332,0.6428061820567612,0.8730813557927621
"S1,7",0.5447373008044916,0.9479019126432897,Invalid,0.3763404255321658
"S1,8",0.5988271366972888,0.615162001965293,0.32589593799650257,0.12357678815312552
"S2,1",1.0,0.5868251407386071,Invalid,Invalid
"S2,3",0.6810571608718816,0.8891849253175348,Invalid,Invalid
"S2,4",0.6810571608718816,0.41169443182590626,Invalid,Invalid
"S2,5",0.6810571608718816,0.7097312498477804,Invalid,Invalid
"S2,6",0.24150397191306,0.44076576512240095,Invalid,Invalid
"S2,7",0.5447373008044916,0.6560287519549326,Invalid,Invalid
"S2,8",0.5988271366972888,0.8461337800517197,Invalid,Invalid
"S3,1",0.6810571608718816,0.5673451899023805,0.13259174514051425,0.060860723646628236
"S3,2",0.6810571608718816,0.8891849253175348,Invalid,Invalid
"S3,4",1.0,0.4143406371640833,0.19098574577878258,0.10170326713585752
"S3,5",1.0,0.8146849606624769,0.17694992761443126,0.10337937572056656
"S3,6",0.6665811073830711,0.7035873883284617,0.21112508494990798,0.16940779692885302
"S3,7",0.3972038407802938,0.6207847623155881,Invalid,0.15972157307525517
"S3,8",0.8782853018770392,0.9288155781051889,0.25321448934662444,0.21846635327371236
"S4,1",0.6810571608718816,0.7222548342032653,0.42312567514814503,0.12858330269571525
"S4,2",0.6810571608718816,0.41169443182590626,Invalid,Invalid
"S4,3",1.0,0.4143406371640833,0.19098574577878258,0.10170326713585752
"S4,5",1.0,0.36011523171805687,0.3604988483955962,0.2111488775873509
"S4,6",0.6665811073830711,0.15158371096500142,0.692522469228269,0.26251579794857816
"S4,7",0.3972038407802938,0.6905684275192012,Invalid,0.17740866009773745
"S4,8",0.8782853018770392,0.48128363671738705,0.9447005893743312,0.9157284782863843
"S5,1",0.6810571608718816,0.47499800585766283,0.5924194345925983,0.7582818559715622
"S5,2",0.6810571608718816,0.7097312498477804,Invalid,Invalid
"S5,3",1.0,0.8146849606624769,0.17694992761443126,0.10337937572056656
"S5,4",1.0,0.36011523171805687,0.3604988483955962,0.2111488775873509
"S5,6",0.6665811073830711,1.0,0.45466699769003427,0.9033893330058916
"S5,7",0.3972038407802938,0.5150319220482494,Invalid,0.3393894330286521
"S5,8",0.8782853018770392,0.9142652981798944,0.26296284429093014,0.2168202989315468
"S6,1",0.24150397191306,0.186904810349332,0.6428061820567612,0.8730813557927621
"S6,2",0.24150397191306,0.44076576512240095,Invalid,Invalid
"S6,3",0.6665811073830711,0.7035873883284617,0.21112508494990798,0.16940779692885302
"S6,4",0.6665811073830711,0.15158371096500142,0.692522469228269,0.26251579794857816
"S6,5",0.6665811073830711,1.0,0.45466699769003427,0.9033893330058916
"S6,7",0.06668800000000007,0.2543908070667781,Invalid,0.33622583193103495
"S6,8",0.854813088248743,0.8893740251728112,0.6180694695782043,0.26774395255582767
"S7,1",0.5447373008044916,0.9479019126432897,Invalid,0.3763404255321658
"S7,2",0.5447373008044916,0.6560287519549326,Invalid,Invalid
"S7,3",0.3972038407802938,0.6207847623155881,Invalid,0.15972157307525517
"S7,4",0.3972038407802938,0.6905684275192012,Invalid,0.17740866009773745
"S7,5",0.3972038407802938,0.5150319220482494,Invalid,0.3393894330286521
"S7,6",0.06668800000000007,0.2543908070667781,Invalid,0.33622583193103495
"S7,8",0.37236398932726406,0.6511180012064293,Invalid,0.17206731127162328
"S8,1",0.5988271366972888,0.615162001965293,0.32589593799650257,0.12357678815312552
"S8,2",0.5988271366972888,0.8461337800517197,Invalid,Invalid
"S8,3",0.8782853018770392,0.9288155781051889,0.25321448934662444,0.21846635327371236
"S8,4",0.8782853018770392,0.48128363671738705,0.9447005893743312,0.9157284782863843
"S8,5",0.8782853018770392,0.9142652981798944,0.26296284429093014,0.2168202989315468
"S8,6",0.854813088248743,0.8893740251728112,0.6180694695782043,0.26774395255582767
"S8,7",0.37236398932726406,0.6511180012064293,Invalid,0.17206731127162328
