Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Untrained,1,379.0,Probe List,object,1.0,thimble,dedal,didal,2.0,2.0,5.0,2.0,2.0,NaN,416.0,319.0,7,NaN,529.0,397.0,570.0,5.0,2.0,2.0,5.0,0.858475,44.0
Untrained,1,202.0,Probe List,object,1.0,Scale,Báscula,Bàscula,2.0,2.0,7.0,2.0,2.0,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,7.0,2.0,NaN,7.0,NaN,NaN
Untrained,1,393.0,Probe List,place,1.0,island,isla,illa,2.0,6.15,4.0,6.464,6.464,60.4567,151334.0,79690.0,6,39.5686,596.0,507.0,643.0,4.0,2.0,2.0,4.0,61.5566,3155.0
Untrained,1,387.0,Probe List,food/fruit,1.0,pear,Pera,pera,2.0,2.0,4.0,2.0,2.0,NaN,NaN,2906.0,4,1.3333,634.0,567.0,590.0,4.0,1.0,2.0,4.0,4.62406,237.0
Untrained,1,259.0,Probe List,nature,1.0,Sun,sol,sol,1.0,6.526,3.0,6.157,6.157,88.1971,227502.0,NaN,3,NaN,NaN,NaN,NaN,3.0,1.0,1.0,3.0,613.868,31463.0
Trained in Catalan,2,52.0,Probe List,tools,0.0,axe,hacha,destral,2.0,6.043,5.0,6.347,6.347,8.149,4570.0,3785.0,3,4.8824,623.0,461.0,597.0,5.0,1.0,2.0,7.0,9.91149,508.0
Trained in Catalan,2,208.0,Probe List,food/veg,1.0,Zucchini,Calabacín/calabaza,Carabassó,3.0,2.0,8.5,2.0,2.0,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,8.5,3.0,NaN,9.0,NaN,NaN
Trained in Catalan,2,79.0,Probe List,kitchen item,0.0,can,lata,llauna,2.0,2.0,4.0,5.701,5.701,15.9375,13963.0,2531671.0,3,5247.451,365.0,620.0,369.0,4.0,1.0,2.0,6.0,11.9601,613.0
Trained in Catalan,2,458.0,Probe List,flower,1.0,rose,rosa,rosa,2.0,2.0,4.0,2.0,2.0,36.5144,87280.0,71876.0,4,53.0196,608.0,556.0,623.0,4.0,1.0,2.0,4.0,53.7327,2754.0
Trained in Catalan,2,47.0,Probe List,kitchen item,0.0,Corkscrew,Sacacorchos,llevataps,2.0,2.0,11.0,2.0,2.0,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,11.0,2.0,3.0,9.0,NaN,NaN
Trained in Spanish,3,302.0,Probe List,plant,2.0,palm,palmera/palma,palmera,2.5,4.2085,6.0,3.025,3.025,NaN,NaN,21943.0,4,13.2353,596.0,515.0,555.0,6.0,1.0,3.0,7.0,4.93623,253.0
Trained in Spanish,3,426.0,Probe List,body parts,1.0,hand,mano,mà,2.0,6.717,4.0,6.315,6.315,255.9615,394970.0,299551.0,4,279.6471,604.0,601.0,598.0,4.0,1.0,1.0,2.0,319.353,16368.0
Trained in Spanish,3,430.0,Probe List,food/protein,1.0,shrimp,gambas/camarón,gambes,2.5,2.0,6.5,2.0,2.0,NaN,NaN,10743.0,6,8.7059,629.0,546.0,618.0,6.5,1.0,2.0,6.0,1.01456,52.0
Trained in Spanish,3,90.0,Probe List,accessory,0.0,earrings,aretes/pantallas/,anells/arracada,2.6666666666666665,2.0,5.0,2.0,2.0,NaN,NaN,4889.0,8,6.1373,NaN,NaN,NaN,5.0,NaN,NaN,7.0,NaN,NaN
Trained in Spanish,3,246.0,Probe List,hygiene product/ health,1.0,deodorant,desodorante,desodorant,5.0,2.0,11.0,2.0,2.0,2.9567,2276.0,1061.0,9,1.6078,NaN,NaN,NaN,11.0,4.0,4.0,10.0,0.117065,6.0
Trained in Spanish,4,77.0,Probe List,clothing,0.0,sock,calcetín,mitjó,3.0,2.0,8.0,2.0,2.0,2.5,1047.0,4195.0,4,8.9804,581.0,578.0,553.0,8.0,1.0,2.0,5.0,0.74141,38.0
