Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
1.0,Probe List,body part,1.0,thumb,pulgar,polze,2.0,2.0,6.0,2.0,2.0,7.5721,7572.0,12878.0,5.0,11.8235,638.0,601.0,599.0,6.0,1.0,2.0,5.0,2.59494,133.0
2.0,Probe List,object,0.0,whistle,silbato,xiulet,3.0,2.0,7.0,2.0,2.0,4.7596,1123.0,6674.0,7.0,15.451,579.0,505.0,574.0,7.0,2.0,2.0,6.0,7.90187,405.0
3.0,Probe List,animal,1.0,bee,abeja,abella,3.0,6.593,5.0,6.418,6.418,7.476,5332.0,8680.0,3.0,10.3529,597.0,554.0,623.0,5.0,1.0,3.0,6.0,7.68725,394.0
4.0,Probe List,food/fruit,0.0,Plums,Ciruelas,Prunes,2.0,2.0,8.0,2.0,2.0,NA,NA,NA,5.0,NA,NA,NA,NA,8.0,1.0,NA,6.0,NA,NA
5.0,Probe List,kitchen item,0.0,Tray,Bandeja,Safata,2.0,2.0,7.0,2.0,2.0,NA,NA,NA,4.0,NA,NA,NA,NA,7.0,1.0,NA,6.0,NA,NA
6.0,Probe List,tools,0.0,pliers,alicates,tenalles,4.0,2.0,8.0,2.0,2.0,NA,346.0,953.0,6.0,1.1569,645.0,499.0,588.0,8.0,2.0,3.0,8.0,1.54135,79.0
8.0,Probe List,profession/person,1.0,fireman,bombero,bomber,3.0,2.0,7.0,2.0,2.0,6.3942,4058.0,1891.0,7.0,2.9216,NA,NA,NA,7.0,3.0,2.0,6.0,0.507281,26.0
9.0,Probe List,food/fruit,0.0,grapes,uvas,raïm,2.0,2.0,4.0,2.0,2.0,3.8942,8116.0,5704.0,6.0,3.9412,NA,NA,NA,4.0,NA,2.0,4.0,11.2577,577.0
10.0,Probe List,animal,0.0,fox,zorro,guineu,2.0,6.204,5.0,6.047,6.047,8.2933,6440.0,50042.0,3.0,21.6078,605.0,501.0,607.0,5.0,1.0,2.0,6.0,5.58009,286.0
11.0,Probe List,food/veg,1.0,celery,apio,api,2.0,2.0,4.0,2.0,2.0,1.3942,3517.0,3877.0,6.0,1.8627,NA,NA,NA,4.0,3.0,2.0,3.0,1.34625,69.0
12.0,Probe List,tools,0.0,tools,herramientas,eines,4.0,2.0,12.0,2.0,2.0,15.5529,143435.0,49359.0,5.0,11.1176,NA,NA,NA,12.0,NA,2.0,5.0,18.945,971.0
14.0,Probe List,body part,2.0,mouth,boca,boca,2.0,6.223,4.0,6.014,6.014,137.9808,175759.0,79641.0,5.0,104.4118,568.0,572.0,613.0,4.0,1.0,2.0,4.0,176.456,9044.0
