Ttests: Across Languages- Eng vs. Spanish,Number of letters,Clearpond_Frequency across languages,Freq_COCA
"S1,2",0.2558106974164756,,0.42360408299909236
"S1,3",0.20646864118311212,,0.5443733775609491
"S1,4",0.12475490843572178,,0.11700119452241342
"S1,5",0.01904003717566686,,0.08424361676452674
"S1,6",0.18225699861478878,,0.26029112691713585
"S1,7",0.9322661834226651,,0.09563259011504768
"S1,8",0.01406372233061221,,0.13469853701651188
"S2,1",0.2558106974164756,,0.8462252146937078
"S2,3",1.0,0.5883743268643384,0.6989891113416106
"S2,4",0.9107702370425277,0.7052890790280677,0.531599314229145
"S2,5",0.615162001965293,0.1691810414974542,0.24496138922422947
"S2,6",0.8594166243794663,0.3667391175567001,0.6989520330691125
"S2,7",0.2086012751208404,0.7101373317698776,0.33690421719051417
"S2,8",0.49871356611901363,0.9826716940039649,0.8853119641241949
"S3,1",0.20646864118311212,,
"S3,2",1.0,,
"S3,4",0.9022700595575305,,
"S3,5",0.5716229853442711,,
"S3,6",0.8444137486950076,,
"S3,7",0.1548977931866754,,
"S3,8",0.4490423098794515,,
"S4,1",0.12475490843572178,,0.5195129050406269
"S4,2",0.9107702370425277,0.2837546457956748,0.2967495065226696
"S4,3",0.9022700595575305,0.537726600539828,0.8942489462527181
"S4,5",0.6293614349204166,0.28519290147404935,0.15766150807219345
"S4,6",0.7175743903624816,0.2979123605270677,0.8228463981903177
"S4,7",0.07883345842513169,0.7178729287224238,0.20007117331811972
"S4,8",0.4834145383130275,0.9286044624862372,0.4714597711599151
"S5,1",0.01904003717566686,,0.38168729314643923
"S5,2",0.615162001965293,0.4796095786280438,0.8546533436980857
"S5,3",0.5716229853442711,0.29763237501830864,0.2441279410691554
"S5,4",0.6293614349204166,0.2927227748236985,0.29006432322516174
"S5,6",0.33102999451020076,0.40098594683099137,0.3016494762799475
"S5,7",0.0046578016919889805,0.29280274353861485,0.2871799797169772
"S5,8",0.7532288962544533,0.23097507067450096,0.2284181078973467
"S6,1",0.18225699861478878,,
"S6,2",0.8594166243794663,,
"S6,3",0.8444137486950076,,
"S6,4",0.7175743903624816,,
"S6,5",0.33102999451020076,,
"S6,7",0.10963016105715648,,
"S6,8",0.2370755095754771,,
"S7,1",0.9322661834226651,,
"S7,2",0.2086012751208404,,
"S7,3",0.1548977931866754,,
"S7,4",0.07883345842513169,,
"S7,5",0.0046578016919889805,,
"S7,6",0.10963016105715648,,
"S7,8",0.0037645937211731612,,
"S8,1",0.01406372233061221,,0.9679842448483326
"S8,2",0.49871356611901363,0.2811827419430107,0.28005708452714595
"S8,3",0.4490423098794515,0.4380999463155506,0.559044364130808
"S8,4",0.4834145383130275,0.5567815253571948,0.6844374405768093
"S8,5",0.7532288962544533,0.6955279462175898,0.22660895693625965
"S8,6",0.2370755095754771,0.232467586328795,0.4177871963189478
"S8,7",0.0037645937211731612,0.5519092840276948,0.3683136929765563
