Ttests Within Languages_English,MRC Imageability,MRC Concretness,MRC Familiarity,MRC N_of_Letters,MRC_Number of Syllables,Clearpond lexical frequency
"S1,2",0.7008298275578861,0.6750488765960356,0.3403016181429344,0.3268003485205896,0.025463561683239225,0.7920566027484743
"S1,3",,,,0.014582507906168147,1.0,
"S1,4",,0.3454227979688086,0.7537657399531353,0.19253287460278237,0.19961866620156749,0.60381919676707
"S1,5",0.4552426088186176,0.4334853713907711,0.95351614909754,0.5959933066795502,0.7599229683487394,0.5656876238110303
"S1,6",0.9912544495856251,0.3523590330810498,0.6718608308883641,0.06496937365680572,0.48604202270507835,0.6921060513228986
"S1,7",0.5162677435610343,0.4213042275079479,0.4586698960975196,1.0,0.47136168054729366,0.3684857768007732
"S1,8",0.6116324095394539,0.8928006237333419,0.2953169539744694,0.8400383271733094,0.2165472841126691,0.4066949542516135
"S2,1",0.7008298275578861,0.6750488765960356,0.3403016181429344,0.3268003485205896,0.025463561683239225,0.7920566027484743
"S2,3",,,,0.15840522935915796,0.0011337831033596442,
"S2,4",,0.3664828100378821,0.28936240666621527,0.7086354001939142,0.13397459621556118,0.7935088937766183
"S2,5",0.1615008252095269,0.7076189829363655,0.19197504290001408,0.8201961160217334,0.04599656039562123,0.742149757883374
"S2,6",0.7782513331334004,0.3736884449092499,0.6271069151387403,0.7404394537249621,0.009627924725379822,0.82622581000136
"S2,7",0.6842635423084766,0.6336108827424531,0.13570422757805392,0.30893713417724966,0.1013258763685236,0.27587903477999415
"S2,8",0.8825116745587631,0.4212225353013735,0.6936373919573307,0.46764977233698457,0.06758329382336989,0.4320108540953698
"S3,1",,,,0.014582507906168147,1.0,
"S3,2",,,,0.15840522935915796,0.0011337831033596442,
"S3,4",,,,0.3202560826104895,0.07861923505869367,
"S3,5",,,,0.15752650590552986,0.7244658257347434,
"S3,6",,,,0.1446598502748035,0.3972038407802938,
"S3,7",,,,0.011846128709836075,0.3733749174022592,
"S3,8",,,,0.03526520347507994,0.0943497728424375,
"S4,1",,0.3454227979688086,0.7537657399531353,0.19253287460278237,0.19961866620156749,0.60381919676707
"S4,2",,0.3664828100378821,0.28936240666621527,0.7086354001939142,0.13397459621556118,0.7935088937766183
"S4,3",,,,0.3202560826104895,0.07861923505869367,
"S4,5",,0.37980154050205733,0.7285876503975381,0.5903087090707444,0.19702207215775072,0.9675638502376509
"S4,6",,0.9938687066098031,0.8379820896655592,0.8797651207839102,0.07204514060222243,0.8988090563547275
"S4,7",,0.30794917332905025,0.5680738984531198,0.179841999276821,0.5630278036985401,0.6241872320773003
"S4,8",,0.3384121323244528,0.2332711510513039,0.290671256262974,0.7979716952348509,0.25952793208767416
"S5,1",0.4552426088186176,0.4334853713907711,0.95351614909754,0.5959933066795502,0.7599229683487394,0.5656876238110303
"S5,2",0.1615008252095269,0.7076189829363655,0.19197504290001408,0.8201961160217334,0.04599656039562123,0.742149757883374
"S5,3",,,,0.15752650590552986,0.7244658257347434,
"S5,4",,0.37980154050205733,0.7285876503975381,0.5903087090707444,0.19702207215775072,0.9675638502376509
"S5,6",0.5591491296542466,0.3871794194258985,0.647938302306722,0.5993868052313442,0.7655040476302715,0.8494068313501251
"S5,7",0.20918467805877813,0.8012783818590038,0.31573735669122477,0.5871188240948395,0.3705550534526509,0.613067446643292
"S5,8",0.10068175425447139,0.06212557765280601,0.15934473903161434,0.7142111872351198,0.19501552810007583,0.2525468971419591
"S6,1",0.9912544495856251,0.3523590330810498,0.6718608308883641,0.06496937365680572,0.48604202270507835,0.6921060513228986
"S6,2",0.7782513331334004,0.3736884449092499,0.6271069151387403,0.7404394537249621,0.009627924725379822,0.82622581000136
"S6,3",,,,0.1446598502748035,0.3972038407802938,
"S6,4",,0.9938687066098031,0.8379820896655592,0.8797651207839102,0.07204514060222243,0.8988090563547275
"S6,5",0.5591491296542466,0.3871794194258985,0.647938302306722,0.5993868052313442,0.7655040476302715,0.8494068313501251
"S6,7",0.570994676811783,0.3155371609431884,0.9329777709888557,0.046024895863132756,0.18225699861478886,0.061608285582160374
"S6,8",0.7139414094077943,0.34529768439263564,0.5420140276244636,0.19090161851319007,0.06558767691472232,0.4124713962643725
"S7,1",0.5162677435610343,0.4213042275079479,0.4586698960975196,1.0,0.47136168054729366,0.3684857768007732
"S7,2",0.6842635423084766,0.6336108827424531,0.13570422757805392,0.30893713417724966,0.1013258763685236,0.27587903477999415
"S7,3",,,,0.011846128709836075,0.3733749174022592,
"S7,4",,0.30794917332905025,0.5680738984531198,0.179841999276821,0.5630278036985401,0.6241872320773003
"S7,5",0.20918467805877813,0.8012783818590038,0.31573735669122477,0.5871188240948395,0.3705550534526509,0.613067446643292
"S7,6",0.570994676811783,0.3155371609431884,0.9329777709888557,0.046024895863132756,0.18225699861478886,0.061608285582160374
"S7,8",0.7355900005522314,0.28622175223707835,0.09679986521903769,0.8307317091592455,0.6665811073830707,0.27491282063065925
"S8,1",0.6116324095394539,0.8928006237333419,0.2953169539744694,0.8400383271733094,0.2165472841126691,0.4066949542516135
"S8,2",0.8825116745587631,0.4212225353013735,0.6936373919573307,0.46764977233698457,0.06758329382336989,0.4320108540953698
"S8,3",,,,0.03526520347507994,0.0943497728424375,
"S8,4",,0.3384121323244528,0.2332711510513039,0.290671256262974,0.7979716952348509,0.25952793208767416
"S8,5",0.10068175425447139,0.06212557765280601,0.15934473903161434,0.7142111872351198,0.19501552810007583,0.2525468971419591
"S8,6",0.7139414094077943,0.34529768439263564,0.5420140276244636,0.19090161851319007,0.06558767691472232,0.4124713962643725
"S8,7",0.7355900005522314,0.28622175223707835,0.09679986521903769,0.8307317091592455,0.6665811073830707,0.27491282063065925
