Ttests Within Languages_Spanish,Espal_NSYL,Espal_NLET,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects
"S1,2",0.1950155281000755,0.2558106974164756,Invalid,0.27235531967909027
"S1,3",0.07986882131303345,0.20646864118311212,Invalid,Invalid
"S1,4",0.11143428937060952,0.12475490843572178,Invalid,0.3548862393860968
"S1,5",0.02180566572500081,0.01904003717566686,Invalid,0.42192475170043137
"S1,6",0.09219439225303312,0.18225699861478878,Invalid,Invalid
"S1,7",0.6996245047604215,0.9322661834226651,Invalid,Invalid
"S1,8",0.00045853972580596806,0.01406372233061221,Invalid,0.14832688322174206
"S2,1",0.1950155281000755,0.2558106974164756,Invalid,0.27235531967909027
"S2,3",0.23062457901903421,1.0,Invalid,Invalid
"S2,4",0.3972038407802939,0.9107702370425277,0.9447667324328732,0.627528854143602
"S2,5",0.10832182695250003,0.615162001965293,0.3854352974608139,0.38463199185176467
"S2,6",0.3669779967385497,0.8594166243794663,Invalid,Invalid
"S2,7",0.4468133341149081,0.2086012751208404,Invalid,Invalid
"S2,8",0.0022052539734682395,0.49871356611901363,0.4523684659493727,0.7660323964149991
"S3,1",0.07986882131303345,0.20646864118311212,Invalid,Invalid
"S3,2",0.23062457901903421,1.0,Invalid,Invalid
"S3,4",0.6286275206936354,0.9022700595575305,Invalid,Invalid
"S3,5",0.9587117186261369,0.5716229853442711,Invalid,Invalid
"S3,6",0.6186215026066784,0.8444137486950076,Invalid,Invalid
"S3,7",0.12969911812491167,0.1548977931866754,Invalid,Invalid
"S3,8",0.2855959563695226,0.4490423098794515,Invalid,Invalid
"S4,1",0.11143428937060952,0.12475490843572178,Invalid,0.3548862393860968
"S4,2",0.3972038407802939,0.9107702370425277,0.9447667324328732,0.627528854143602
"S4,3",0.6286275206936354,0.9022700595575305,Invalid,Invalid
"S4,5",0.5795840000000002,0.6293614349204166,0.2987369113414513,0.30537661163114327
"S4,6",1.0,0.7175743903624816,Invalid,Invalid
"S4,7",0.2029339678629011,0.07883345842513169,Invalid,Invalid
"S4,8",0.06558767691472245,0.4834145383130275,0.47533404733891416,0.40702062036029774
"S5,1",0.02180566572500081,0.01904003717566686,Invalid,0.42192475170043137
"S5,2",0.10832182695250003,0.615162001965293,0.3854352974608139,0.38463199185176467
"S5,3",0.9587117186261369,0.5716229853442711,Invalid,Invalid
"S5,4",0.5795840000000002,0.6293614349204166,0.2987369113414513,0.30537661163114327
"S5,6",0.5612530622653906,0.33102999451020076,Invalid,Invalid
"S5,7",0.05277043524211499,0.0046578016919889805,Invalid,Invalid
"S5,8",0.12798805308834446,0.7532288962544533,0.28618762453634744,0.2928645203546115
"S6,1",0.09219439225303312,0.18225699861478878,Invalid,Invalid
"S6,2",0.3669779967385497,0.8594166243794663,Invalid,Invalid
"S6,3",0.6186215026066784,0.8444137486950076,Invalid,Invalid
"S6,4",1.0,0.7175743903624816,Invalid,Invalid
"S6,5",0.5612530622653906,0.33102999451020076,Invalid,Invalid
"S6,7",0.1801714052991666,0.10963016105715648,Invalid,Invalid
"S6,8",0.05334189534187311,0.2370755095754771,Invalid,Invalid
"S7,1",0.6996245047604215,0.9322661834226651,Invalid,Invalid
"S7,2",0.4468133341149081,0.2086012751208404,Invalid,Invalid
"S7,3",0.12969911812491167,0.1548977931866754,Invalid,Invalid
"S7,4",0.2029339678629011,0.07883345842513169,Invalid,Invalid
"S7,5",0.05277043524211499,0.0046578016919889805,Invalid,Invalid
"S7,6",0.1801714052991666,0.10963016105715648,Invalid,Invalid
"S7,8",0.0017488727383480735,0.0037645937211731612,Invalid,Invalid
"S8,1",0.00045853972580596806,0.01406372233061221,Invalid,0.14832688322174206
"S8,2",0.0022052539734682395,0.49871356611901363,0.4523684659493727,0.7660323964149991
"S8,3",0.2855959563695226,0.4490423098794515,Invalid,Invalid
"S8,4",0.06558767691472245,0.4834145383130275,0.47533404733891416,0.40702062036029774
"S8,5",0.12798805308834446,0.7532288962544533,0.28618762453634744,0.2928645203546115
"S8,6",0.05334189534187311,0.2370755095754771,Invalid,Invalid
"S8,7",0.0017488727383480735,0.0037645937211731612,Invalid,Invalid
