Assignment,Set #,Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
Trained in Catalan,1,19.0,Probe List,body part,1.0,hair,cabello/pelo,cabell,2.5,4.1240000000000006,5.5,6.277,6.277,NaN,NaN,139560.0,4,153.549,583.0,575.0,580.0,5.5,1.0,2.0,6.0,28.2516,1448.0
Trained in Catalan,1,62.0,Probe List,household item,0.0,blanket,cobija,recera,3.0,2.0,6.0,2.0,2.0,2.4519,4269.0,13661.0,7,12.9804,622.0,563.0,582.0,6.0,2.0,NaN,6.0,0.097554,5.0
Trained in Catalan,1,340.0,Probe List,household item,1.0,sink,pica/fregadero,pica/fregadero,3.0,2.0,6.5,4.141,4.141,NaN,NaN,19461.0,4,16.9216,590.0,586.0,599.0,6.5,1.0,NaN,6.5,NaN,NaN
Trained in Catalan,1,98.0,Probe List,household item,0.0,bed,cama,llit,2.0,7.0,4.0,6.116,6.116,178.1731,85257.0,115014.0,3,187.1176,635.0,636.0,635.0,4.0,1.0,1.0,4.0,153.121,7848.0
Trained in Catalan,1,390.0,Probe List,animal,1.0,Lion,león,lleó,2.0,6.763,4.0,6.375,6.375,17.5962,86336.0,NaN,4,NaN,NaN,NaN,NaN,4.0,1.0,2.0,4.0,20.5839,1055.0
Trained in Catalan,2,204.0,Probe List,transportation,1.0,sled,trineo,trineu,3.0,2.0,6.0,2.0,2.0,4.2788,1119.0,2215.0,4,2.9216,0.0,477.0,NaN,6.0,1.0,2.0,6.0,0.74141,38.0
Trained in Catalan,2,475.0,Probe List,animal,1.0,chicken (meat),pollo,pollet,2.0,6.505,5.0,6.491,6.491,47.2837,34274.0,NaN,14,NaN,NaN,NaN,NaN,5.0,3.0,2.0,6.0,1.83402,94.0
Trained in Catalan,2,6.0,Probe List,tools,0.0,pliers,alicates,tenalles,4.0,2.0,8.0,2.0,2.0,NaN,346.0,953.0,6,1.1569,645.0,499.0,588.0,8.0,2.0,3.0,8.0,1.54135,79.0
Trained in Catalan,2,135.0,Probe List,body part,1.0,Nose,Nariz ,Nas ,2.0,2.0,6.0,2.0,2.0,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,6.0,1.0,NaN,4.0,NaN,NaN
Trained in Catalan,2,9.0,Probe List,food/fruit,0.0,grapes,uvas,raïm,2.0,2.0,4.0,2.0,2.0,3.8942,8116.0,5704.0,6,3.9412,NaN,NaN,NaN,4.0,NaN,2.0,4.0,11.2577,577.0
