Ttests: Across Languages- Eng vs. Spanish,Number of letters,Clearpond_Frequency across languages,Freq_COCA
"S1,2",0.49518282179250805,0.32254548139100936,0.1102726227970761
"S1,3",0.10374960764680832,,
"S1,4",0.117666703112797,0.2783915096576008,0.09611466919963554
"S1,5",0.19501552810007583,0.4064014876241073,0.09336573472132378
"S1,6",0.2677956183225601,0.964410199291692,0.7956524404491667
"S1,7",0.003936674835548722,0.42446115319150324,0.5732262974524023
"S1,8",0.540380587969675,,
"S2,1",0.49518282179250805,0.23565310164300962,0.11724974347813749
"S2,3",0.21907402780828145,,
"S2,4",0.29102995651712404,0.4741149476305297,0.9807632720723838
"S2,5",0.5868251407386071,0.8197774098676228,0.6412132960760342
"S2,6",0.6810571608718816,0.532238696716882,0.3906773455371006
"S2,7",0.02509667588225183,0.7080169378307639,0.27235067006940944
"S2,8",0.883240746612722,,
"S3,1",0.10374960764680832,,
"S3,2",0.21907402780828145,,
"S3,4",0.7314203833156874,,
"S3,5",0.3430828427768831,,
"S3,6",0.32319268086252717,,
"S3,7",0.7761781767432636,,
"S3,8",0.3465935070873341,,
"S4,1",0.117666703112797,0.19500644934193576,0.22885257560570632
"S4,2",0.29102995651712404,0.033413279595352105,0.25918489159024505
"S4,3",0.7314203833156874,,
"S4,5",0.4842529172376314,0.4000366922199347,0.8646270322398912
"S4,6",0.4515748120236889,0.47141774952456816,0.509969567675995
"S4,7",0.40534307175281115,0.4742453004017205,0.4740528957676021
"S4,8",0.4716791914899511,,
"S5,1",0.19501552810007583,0.9323620192201596,0.7263931076505955
"S5,2",0.5868251407386071,0.29522813279416926,0.26636780804746557
"S5,3",0.3430828427768831,,
"S5,4",0.4842529172376314,0.235726744398003,0.21693759335534382
"S5,6",0.9126398656512003,0.7010869530789066,0.9074836026620314
"S5,7",0.048630852079355004,0.28511675261411956,0.3586560440159671
"S5,8",0.820666640906743,,
"S6,1",0.2677956183225601,0.9352888794208076,0.468837319695893
"S6,2",0.6810571608718816,0.3732273545123376,0.37254381727745206
"S6,3",0.32319268086252717,,
"S6,4",0.4515748120236889,0.31832259517982714,0.30076286464934693
"S6,5",0.9126398656512003,0.40902045377618307,0.24544777956354347
"S6,7",0.05281335911209561,0.3940946737329784,0.305703357596012
"S6,8",0.883240746612722,,
"S7,1",0.003936674835548722,0.24468473539667202,0.9989279277605121
"S7,2",0.02509667588225183,0.10197152821823977,0.14927511190109585
"S7,3",0.7761781767432636,,
"S7,4",0.40534307175281115,0.11862513741444894,0.1266903782912068
"S7,5",0.048630852079355004,0.5533829298024888,0.11159445199672915
"S7,6",0.05281335911209561,0.6055356260539939,0.8844860140004742
"S7,8",0.13120172936141022,,
"S8,1",0.540380587969675,,
"S8,2",0.883240746612722,,
"S8,3",0.3465935070873341,,
"S8,4",0.4716791914899511,,
"S8,5",0.820666640906743,,
"S8,6",0.883240746612722,,
"S8,7",0.13120172936141022,,
