Ttests Within Languages_English,MRC Imageability,MRC Concretness,MRC Familiarity,MRC N_of_Letters,MRC_Number of Syllables,Clearpond lexical frequency
"S1,2",,,,0.49518282179250805,0.2874083379175114,0.1547164027243475
"S1,3",,,,0.10374960764680832,0.20730483995919904,
"S1,4",,,,0.117666703112797,0.00527610793587073,0.11460576052316848
"S1,5",0.2315570199278738,0.23179443532604715,0.5882440066311967,0.19501552810007583,0.3972038407802937,0.17963188961776874
"S1,6",0.4619641764892874,0.29946844565692815,0.6105788067679405,0.2677956183225601,0.012654499365529452,0.6835241694760978
"S1,7",,,,0.003936674835548722,0.01646609889967392,0.17288263758339473
"S1,8",,,,0.540380587969675,0.4070838220655887,
"S2,1",,,,0.49518282179250805,0.2874083379175114,0.1547164027243475
"S2,3",,,,0.21907402780828145,0.7486445487540937,
"S2,4",,,,0.29102995651712404,0.23806045994723948,0.1815013205730488
"S2,5",,,,0.5868251407386071,0.8153180714600265,0.12637679275678648
"S2,6",,,,0.6810571608718816,0.39025850801980316,0.3959294823994578
"S2,7",,,,0.02509667588225183,0.1754994493585012,0.2543155290445649
"S2,8",,,,0.883240746612722,0.8290795228706703,
"S3,1",,,,0.10374960764680832,0.20730483995919904,
"S3,2",,,,0.21907402780828145,0.7486445487540937,
"S3,4",,,,0.7314203833156874,0.523742435547029,
"S3,5",,,,0.3430828427768831,0.5716229853442711,
"S3,6",,,,0.32319268086252717,0.7155553162889237,
"S3,7",,,,0.7761781767432636,0.308008491917157,
"S3,8",,,,0.3465935070873341,1.0,
"S4,1",,,,0.117666703112797,0.00527610793587073,0.11460576052316848
"S4,2",,,,0.29102995651712404,0.23806045994723948,0.1815013205730488
"S4,3",,,,0.7314203833156874,0.523742435547029,
"S4,5",,,,0.4842529172376314,0.126474904297984,0.20571381078475126
"S4,6",,,,0.4515748120236889,0.6845283355605285,0.36244972976494183
"S4,7",,,,0.40534307175281115,0.48604202270507835,0.3071774759273628
"S4,8",,,,0.4716791914899511,0.6771942273893632,
"S5,1",0.2315570199278738,0.23179443532604715,0.5882440066311967,0.19501552810007583,0.3972038407802937,0.17963188961776874
"S5,2",,,,0.5868251407386071,0.8153180714600265,0.12637679275678648
"S5,3",,,,0.3430828427768831,0.5716229853442711,
"S5,4",,,,0.4842529172376314,0.126474904297984,0.20571381078475126
"S5,6",0.23495259334265212,0.24311475424967294,0.8712565490325375,0.9126398656512003,0.23806045994723948,0.49523120746222304
"S5,7",,,,0.048630852079355004,0.09434977284243766,0.8008644581953362
"S5,8",,,,0.820666640906743,0.6978131987721745,
"S6,1",0.4619641764892874,0.29946844565692815,0.6105788067679405,0.2677956183225601,0.012654499365529452,0.6835241694760978
"S6,2",,,,0.6810571608718816,0.39025850801980316,0.3959294823994578
"S6,3",,,,0.32319268086252717,0.7155553162889237,
"S6,4",,,,0.4515748120236889,0.6845283355605285,0.36244972976494183
"S6,5",0.23495259334265212,0.24311475424967294,0.8712565490325375,0.9126398656512003,0.23806045994723948,0.49523120746222304
"S6,7",,,,0.05281335911209561,0.3877936153408455,0.5084685486912923
"S6,8",,,,0.883240746612722,0.816443065425582,
"S7,1",,,,0.003936674835548722,0.01646609889967392,0.17288263758339473
"S7,2",,,,0.02509667588225183,0.1754994493585012,0.2543155290445649
"S7,3",,,,0.7761781767432636,0.308008491917157,
"S7,4",,,,0.40534307175281115,0.48604202270507835,0.3071774759273628
"S7,5",,,,0.048630852079355004,0.09434977284243766,0.8008644581953362
"S7,6",,,,0.05281335911209561,0.3877936153408455,0.5084685486912923
"S7,8",,,,0.13120172936141022,0.46659659651075847,
"S8,1",,,,0.540380587969675,0.4070838220655887,
"S8,2",,,,0.883240746612722,0.8290795228706703,
"S8,3",,,,0.3465935070873341,1.0,
"S8,4",,,,0.4716791914899511,0.6771942273893632,
"S8,5",,,,0.820666640906743,0.6978131987721745,
"S8,6",,,,0.883240746612722,0.816443065425582,
"S8,7",,,,0.13120172936141022,0.46659659651075847,
