Ttests Within Languages_Spanish,Espal_NSYL,Espal_NLET,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects
"S1,2",0.8327229151885771,0.49518282179250805,0.4582686642846089,0.11060891937808841
"S1,3",1.0,0.10374960764680832,Invalid,Invalid
"S1,4",0.9190925265547176,0.117666703112797,0.39317248493829077,0.2380981796349067
"S1,5",0.5107574035079182,0.19501552810007583,0.7458878203596123,0.6371520115589445
"S1,6",0.8327229151885771,0.2677956183225601,0.8573765175727461,0.5063765225298034
"S1,7",0.026509885484624286,0.003936674835548722,0.5197438525580321,0.7850772770922931
"S1,8",0.05576652890099615,0.540380587969675,Invalid,Invalid
"S2,1",0.8327229151885771,0.49518282179250805,0.4582686642846089,0.11060891937808841
"S2,3",0.8619282156106918,0.21907402780828145,Invalid,Invalid
"S2,4",0.7790503501599919,0.29102995651712404,0.6930861698462593,0.6267376256985864
"S2,5",0.7244658257347434,0.5868251407386071,0.37689875466706857,0.22087433715820462
"S2,6",0.7328098736023416,0.6810571608718816,0.469782503664017,0.30167664908845576
"S2,7",0.126474904297984,0.02509667588225183,0.5083657821563321,0.13326840533259543
"S2,8",0.17200329195191125,0.883240746612722,Invalid,Invalid
"S3,1",1.0,0.10374960764680832,Invalid,Invalid
"S3,2",0.8619282156106918,0.21907402780828145,Invalid,Invalid
"S3,4",0.9425732591324324,0.7314203833156874,Invalid,Invalid
"S3,5",0.5927081511521777,0.3430828427768831,Invalid,Invalid
"S3,6",0.8619282156106918,0.32319268086252717,Invalid,Invalid
"S3,7",0.08513507177899203,0.7761781767432636,Invalid,Invalid
"S3,8",0.23275973807683983,0.3465935070873341,Invalid,Invalid
"S4,1",0.9190925265547176,0.117666703112797,0.39317248493829077,0.2380981796349067
"S4,2",0.7790503501599919,0.29102995651712404,0.6930861698462593,0.6267376256985864
"S4,3",0.9425732591324324,0.7314203833156874,Invalid,Invalid
"S4,5",0.4676497723369848,0.4842529172376314,0.3390852246391354,0.34159626720523134
"S4,6",0.8882246615713305,0.4515748120236889,0.42624679682804745,0.4049747733213315
"S4,7",0.02319784130914632,0.40534307175281115,0.24107764940153903,0.24987586981595836
"S4,8",0.07288435300572484,0.4716791914899511,Invalid,Invalid
"S5,1",0.5107574035079182,0.19501552810007583,0.7458878203596123,0.6371520115589445
"S5,2",0.7244658257347434,0.5868251407386071,0.37689875466706857,0.22087433715820462
"S5,3",0.5927081511521777,0.3430828427768831,Invalid,Invalid
"S5,4",0.4676497723369848,0.4842529172376314,0.3390852246391354,0.34159626720523134
"S5,6",0.48604202270507835,0.9126398656512003,0.9018912896281969,0.6373476498917712
"S5,7",0.2165472841126691,0.048630852079355004,0.3702451642781999,0.7311448202156499
"S5,8",0.06496937365680572,0.820666640906743,Invalid,Invalid
"S6,1",0.8327229151885771,0.2677956183225601,0.8573765175727461,0.5063765225298034
"S6,2",0.7328098736023416,0.6810571608718816,0.469782503664017,0.30167664908845576
"S6,3",0.8619282156106918,0.32319268086252717,Invalid,Invalid
"S6,4",0.8882246615713305,0.4515748120236889,0.42624679682804745,0.4049747733213315
"S6,5",0.48604202270507835,0.9126398656512003,0.9018912896281969,0.6373476498917712
"S6,7",0.06558767691472245,0.05281335911209561,0.4842432632651836,0.4701869250767005
"S6,8",0.3465935070873342,0.883240746612722,Invalid,Invalid
"S7,1",0.026509885484624286,0.003936674835548722,0.5197438525580321,0.7850772770922931
"S7,2",0.126474904297984,0.02509667588225183,0.5083657821563321,0.13326840533259543
"S7,3",0.08513507177899203,0.7761781767432636,Invalid,Invalid
"S7,4",0.02319784130914632,0.40534307175281115,0.24107764940153903,0.24987586981595836
"S7,5",0.2165472841126691,0.048630852079355004,0.3702451642781999,0.7311448202156499
"S7,6",0.06558767691472245,0.05281335911209561,0.4842432632651836,0.4701869250767005
"S7,8",0.00044635118511004144,0.13120172936141022,Invalid,Invalid
"S8,1",0.05576652890099615,0.540380587969675,Invalid,Invalid
"S8,2",0.17200329195191125,0.883240746612722,Invalid,Invalid
"S8,3",0.23275973807683983,0.3465935070873341,Invalid,Invalid
"S8,4",0.07288435300572484,0.4716791914899511,Invalid,Invalid
"S8,5",0.06496937365680572,0.820666640906743,Invalid,Invalid
"S8,6",0.3465935070873342,0.883240746612722,Invalid,Invalid
"S8,7",0.00044635118511004144,0.13120172936141022,Invalid,Invalid
