Ttests Within Languages_English,MRC Imageability,MRC Concretness,MRC Familiarity,MRC N_of_Letters,MRC_Number of Syllables,Clearpond lexical frequency
"S1,2",,0.48115564641637376,0.49745760837728603,1.0,0.29235199244023835,0.4541788960952521
"S1,3",,0.3601770523222587,0.30413071399696506,0.6630881704159126,0.2731392225914405,0.24776999879855685
"S1,4",,,,0.15250228520801448,0.5708289866740257,0.09555945964712093
"S1,5",,,,0.8860547156767139,0.7707132785693244,0.3738372537926435
"S1,6",,,,0.5495687592001903,0.29235199244023835,0.5039707869729482
"S1,7",,,,0.5927081511521777,1.0,0.9719741489598848
"S1,8",,,,0.933772958094147,0.17200329195191125,
"S2,1",,0.48115564641637376,0.49745760837728603,1.0,0.29235199244023835,0.4541788960952521
"S2,3",0.8437066836456484,0.8087159276551076,0.6342732230420935,0.7174069448238002,0.8528538717240353,0.5479100718811172
"S2,4",,,,0.3879928567434612,0.5369633243867579,0.3212123139586077
"S2,5",,,,0.9007837799479623,0.3558195725017885,0.5508425438888558
"S2,6",,,,0.6223833291543435,1.0,0.6704488557040977
"S2,7",,,,0.679541083555246,0.35591768374958205,0.4525202418510438
"S2,8",,,,0.947422564760191,0.7979716952348509,
"S3,1",,0.3601770523222587,0.30413071399696506,0.6630881704159126,0.2731392225914405,0.24776999879855685
"S3,2",0.8437066836456484,0.8087159276551076,0.6342732230420935,0.7174069448238002,0.8528538717240353,0.5479100718811172
"S3,4",,,,0.23606970723763085,0.5097172396141371,0.06473922507744777
"S3,5",,,,0.8525409376059722,0.290671256262974,0.3526711540456055
"S3,6",,,,0.9078081296387075,0.8528538717240353,0.7977869378179613
"S3,7",,,,1.0,0.3338991406915331,0.2526568145703895
"S3,8",,,,0.6709166147235957,1.0,
"S4,1",,,,0.15250228520801448,0.5708289866740257,0.09555945964712093
"S4,2",,,,0.3879928567434612,0.5369633243867579,0.3212123139586077
"S4,3",,,,0.23606970723763085,0.5097172396141371,0.06473922507744777
"S4,5",,,,0.4384405949302346,0.5389182882887393,0.26181794294043986
"S4,6",,,,0.17200329195191144,0.5369633243867579,0.3164519376998567
"S4,7",,,,0.14111328125000006,0.6202199660794111,0.19626935429412465
"S4,8",,,,0.427613908537832,0.35581957250178875,
"S5,1",,,,0.8860547156767139,0.7707132785693244,0.3738372537926435
"S5,2",,,,0.9007837799479623,0.3558195725017885,0.5508425438888558
"S5,3",,,,0.8525409376059722,0.290671256262974,0.3526711540456055
"S5,4",,,,0.4384405949302346,0.5389182882887393,0.26181794294043986
"S5,6",,,,0.7705737190597345,0.3558195725017885,0.40968078189930973
"S5,7",,,,0.8388951879080037,0.7979716952348508,0.3731634926218344
"S5,8",,,,0.8578609211090735,0.24150397191305997,
"S6,1",,,,0.5495687592001903,0.29235199244023835,0.5039707869729482
"S6,2",,,,0.6223833291543435,1.0,0.6704488557040977
"S6,3",,,,0.9078081296387075,0.8528538717240353,0.7977869378179613
"S6,4",,,,0.17200329195191144,0.5369633243867579,0.3164519376998567
"S6,5",,,,0.7705737190597345,0.3558195725017885,0.40968078189930973
"S6,7",,,,0.8960692177320336,0.35591768374958205,0.5015159419576767
"S6,8",,,,0.5772713801348861,0.7979716952348509,
"S7,1",,,,0.5927081511521777,1.0,0.9719741489598848
"S7,2",,,,0.679541083555246,0.35591768374958205,0.4525202418510438
"S7,3",,,,1.0,0.3338991406915331,0.2526568145703895
"S7,4",,,,0.14111328125000006,0.6202199660794111,0.19626935429412465
"S7,5",,,,0.8388951879080037,0.7979716952348508,0.3731634926218344
"S7,6",,,,0.8960692177320336,0.35591768374958205,0.5015159419576767
"S7,8",,,,0.627051868375369,0.2274528180597631,
"S8,1",,,,0.933772958094147,0.17200329195191125,
"S8,2",,,,0.947422564760191,0.7979716952348509,
"S8,3",,,,0.6709166147235957,1.0,
"S8,4",,,,0.427613908537832,0.35581957250178875,
"S8,5",,,,0.8578609211090735,0.24150397191305997,
"S8,6",,,,0.5772713801348861,0.7979716952348509,
"S8,7",,,,0.627051868375369,0.2274528180597631,
