Ttests Within Languages_Spanish,Espal_NSYL,Espal_NLET,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects
"S1,2",0.35889698010694043,1.0,0.6748798322298173,0.42036430770817934
"S1,3",0.24150397191306,0.6630881704159126,0.4104722269513055,0.28684306917898644
"S1,4",0.7885433926808217,0.15250228520801448,0.13707171778772453,0.343871304822441
"S1,5",0.35889698010694043,0.8860547156767139,Invalid,Invalid
"S1,6",0.6665811073830712,0.5495687592001903,0.29692377092391525,Invalid
"S1,7",0.6665811073830711,0.5927081511521777,0.5494140903261211,0.38771977252976936
"S1,8",0.48604202270507835,0.933772958094147,0.13364073145945668,0.997715976488736
"S2,1",0.35889698010694043,1.0,0.6748798322298173,0.42036430770817934
"S2,3",0.7599229683487394,0.7174069448238002,0.33641549251847863,0.20136636000521407
"S2,4",0.29740136423263286,0.3879928567434612,0.1900710324013429,0.22055490376572617
"S2,5",1.0,0.9007837799479623,Invalid,Invalid
"S2,6",0.5871188240948395,0.6223833291543435,0.33779311152339486,Invalid
"S2,7",0.5871188240948395,0.679541083555246,0.45462608390802195,0.35827488282134723
"S2,8",0.8027717312071622,0.947422564760191,0.16635327526419,0.2820323245323173
"S3,1",0.24150397191306,0.6630881704159126,0.4104722269513055,0.28684306917898644
"S3,2",0.7599229683487394,0.7174069448238002,0.33641549251847863,0.20136636000521407
"S3,4",0.1328010916244439,0.23606970723763085,0.3078546005254508,0.5401810052339313
"S3,5",0.7599229683487394,0.8525409376059722,Invalid,Invalid
"S3,6",0.6810571608718816,0.9078081296387075,0.3168642027016126,Invalid
"S3,7",0.6810571608718816,1.0,0.8846623842668206,0.6462786485608434
"S3,8",1.0,0.6709166147235957,0.14872671669526658,0.1490637934350733
"S4,1",0.7885433926808217,0.15250228520801448,0.13707171778772453,0.343871304822441
"S4,2",0.29740136423263286,0.3879928567434612,0.1900710324013429,0.22055490376572617
"S4,3",0.1328010916244439,0.23606970723763085,0.3078546005254508,0.5401810052339313
"S4,5",0.29740136423263286,0.4384405949302346,Invalid,Invalid
"S4,6",0.5447373008044911,0.17200329195191144,0.3650738960868275,Invalid
"S4,7",0.5447373008044911,0.14111328125000006,0.28480771632997093,0.48493695560425615
"S4,8",0.40175006513973355,0.427613908537832,0.18599777364821524,0.20301588191257117
"S5,1",0.35889698010694043,0.8860547156767139,Invalid,Invalid
"S5,2",1.0,0.9007837799479623,Invalid,Invalid
"S5,3",0.7599229683487394,0.8525409376059722,Invalid,Invalid
"S5,4",0.29740136423263286,0.4384405949302346,Invalid,Invalid
"S5,6",0.5871188240948395,0.7705737190597345,Invalid,Invalid
"S5,7",0.5871188240948395,0.8388951879080037,Invalid,Invalid
"S5,8",0.8027717312071622,0.8578609211090735,Invalid,Invalid
"S6,1",0.6665811073830712,0.5495687592001903,0.29692377092391525,Invalid
"S6,2",0.5871188240948395,0.6223833291543435,0.33779311152339486,Invalid
"S6,3",0.6810571608718816,0.9078081296387075,0.3168642027016126,Invalid
"S6,4",0.5447373008044911,0.17200329195191144,0.3650738960868275,Invalid
"S6,5",0.5871188240948395,0.7705737190597345,Invalid,Invalid
"S6,7",1.0,0.8960692177320336,0.41186669563946154,Invalid
"S6,8",0.7655040476302715,0.5772713801348861,0.9652055558048771,Invalid
"S7,1",0.6665811073830711,0.5927081511521777,0.5494140903261211,0.38771977252976936
"S7,2",0.5871188240948395,0.679541083555246,0.45462608390802195,0.35827488282134723
"S7,3",0.6810571608718816,1.0,0.8846623842668206,0.6462786485608434
"S7,4",0.5447373008044911,0.14111328125000006,0.28480771632997093,0.48493695560425615
"S7,5",0.5871188240948395,0.8388951879080037,Invalid,Invalid
"S7,6",1.0,0.8960692177320336,0.41186669563946154,Invalid
"S7,8",0.7655040476302715,0.627051868375369,0.2263542837308853,0.242804229881809
"S8,1",0.48604202270507835,0.933772958094147,0.13364073145945668,0.997715976488736
"S8,2",0.8027717312071622,0.947422564760191,0.16635327526419,0.2820323245323173
"S8,3",1.0,0.6709166147235957,0.14872671669526658,0.1490637934350733
"S8,4",0.40175006513973355,0.427613908537832,0.18599777364821524,0.20301588191257117
"S8,5",0.8027717312071622,0.8578609211090735,Invalid,Invalid
"S8,6",0.7655040476302715,0.5772713801348861,0.9652055558048771,Invalid
"S8,7",0.7655040476302715,0.627051868375369,0.2263542837308853,0.242804229881809
