Ttests Within Languages_English,MRC Imageability,MRC Concretness,MRC Familiarity,MRC N_of_Letters,MRC_Number of Syllables,Clearpond lexical frequency
"S1,2",,,,0.13180799743878613,0.5630278036985401,0.22544043903233224
"S1,3",,,,0.36349110019769354,0.818177202735276,0.21681680331901698
"S1,4",0.9029885386389185,0.2328597219437497,0.26167833491194614,1.0,0.3052013652062302,0.21194626227540003
"S1,5",,,,0.32468316327426977,0.37055505345265083,0.6562027634629453
"S1,6",0.9911549059374307,0.3738187873878964,0.6133989975144978,0.07797078159747611,1.0,0.3470568615260434
"S1,7",,,,0.6495741670239124,0.21654728411266935,0.8020655218519972
"S1,8",0.747818660750187,0.792902370567403,0.3756514051495779,0.4553663435526899,0.6382401514757152,0.2734958478498073
"S2,1",,,,0.13180799743878613,0.5630278036985401,0.22544043903233224
"S2,3",,,,0.7996198357974958,0.7209712020732304,0.6808831434940936
"S2,4",,,,0.20780393038469788,0.12687036692367104,0.9883732486504271
"S2,5",,,,0.9369311405192212,0.19702207215775072,0.276930272078793
"S2,6",,,,0.8286676661519065,0.5630278036985401,0.5009951758419867
"S2,7",,,,0.34768340794365843,0.04794477217962339,0.3247207241874901
"S2,8",,,,0.9461638020314551,1.0,0.6504591231817338
"S3,1",,,,0.36349110019769354,0.818177202735276,0.21681680331901698
"S3,2",,,,0.7996198357974958,0.7209712020732304,0.6808831434940936
"S3,4",,,,0.4143406371640833,0.2575504954290607,0.6128396804164435
"S3,5",,,,0.8146849606624769,0.34905169228385086,0.24160102319300694
"S3,6",,,,0.7035873883284617,0.818177202735276,0.3455053333206485
"S3,7",,,,0.6207847623155881,0.12190217094862571,0.30349716065044374
"S3,8",,,,0.9288155781051889,0.809008495326675,0.4188363743375763
"S4,1",0.9029885386389185,0.2328597219437497,0.26167833491194614,1.0,0.3052013652062302,0.21194626227540003
"S4,2",,,,0.20780393038469788,0.12687036692367104,0.9883732486504271
"S4,3",,,,0.4143406371640833,0.2575504954290607,0.6128396804164435
"S4,5",,,,0.36011523171805687,1.0,0.25713292361199314
"S4,6",0.9115750972327271,0.12526982658996202,0.5481275625089221,0.15158371096500142,0.3052013652062302,0.4616840669038018
"S4,7",,,,0.6905684275192012,1.0,0.2998886383203231
"S4,8",0.8931479646060345,0.1934526732517132,0.6513465161337725,0.48128363671738705,0.19702207215775072,0.608240610904994
"S5,1",,,,0.32468316327426977,0.37055505345265083,0.6562027634629453
"S5,2",,,,0.9369311405192212,0.19702207215775072,0.276930272078793
"S5,3",,,,0.8146849606624769,0.34905169228385086,0.24160102319300694
"S5,4",,,,0.36011523171805687,1.0,0.25713292361199314
"S5,6",,,,1.0,0.37055505345265083,0.49435500622839157
"S5,7",,,,0.5150319220482494,1.0,0.8046724414285186
"S5,8",,,,0.9142652981798944,0.25506974809553307,0.37263842102510963
"S6,1",0.9911549059374307,0.3738187873878964,0.6133989975144978,0.07797078159747611,1.0,0.3470568615260434
"S6,2",,,,0.8286676661519065,0.5630278036985401,0.5009951758419867
"S6,3",,,,0.7035873883284617,0.818177202735276,0.3455053333206485
"S6,4",0.9115750972327271,0.12526982658996202,0.5481275625089221,0.15158371096500142,0.3052013652062302,0.4616840669038018
"S6,5",,,,1.0,0.37055505345265083,0.49435500622839157
"S6,7",,,,0.2543908070667781,0.21654728411266935,0.4624101879649417
"S6,8",0.7621510404310564,0.5197529653213773,0.7857641791176758,0.8893740251728112,0.6382401514757152,0.7767938748764477
"S7,1",,,,0.6495741670239124,0.21654728411266935,0.8020655218519972
"S7,2",,,,0.34768340794365843,0.04794477217962339,0.3247207241874901
"S7,3",,,,0.6207847623155881,0.12190217094862571,0.30349716065044374
"S7,4",,,,0.6905684275192012,1.0,0.2998886383203231
"S7,5",,,,0.5150319220482494,1.0,0.8046724414285186
"S7,6",,,,0.2543908070667781,0.21654728411266935,0.4624101879649417
"S7,8",,,,0.6511180012064293,0.12687036692367104,0.3790478246271578
"S8,1",0.747818660750187,0.792902370567403,0.3756514051495779,0.4553663435526899,0.6382401514757152,0.2734958478498073
"S8,2",,,,0.9461638020314551,1.0,0.6504591231817338
"S8,3",,,,0.9288155781051889,0.809008495326675,0.4188363743375763
"S8,4",0.8931479646060345,0.1934526732517132,0.6513465161337725,0.48128363671738705,0.19702207215775072,0.608240610904994
"S8,5",,,,0.9142652981798944,0.25506974809553307,0.37263842102510963
"S8,6",0.7621510404310564,0.5197529653213773,0.7857641791176758,0.8893740251728112,0.6382401514757152,0.7767938748764477
"S8,7",,,,0.6511180012064293,0.12687036692367104,0.3790478246271578
