Ttests Within Languages_Spanish,Espal_NSYL,Espal_NLET,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects
"S1,2",0.24150397191306,0.13180799743878613,0.4985548396331535,0.36479503044653094
"S1,3",0.3972038407802938,0.36349110019769354,0.19482064534042878,0.10249767569562138
"S1,4",0.3972038407802938,1.0,0.5347555036315108,0.19849729341982122
"S1,5",0.3972038407802938,0.32468316327426977,0.46053435835637613,0.9412668880314925
"S1,6",0.06668800000000007,0.07797078159747611,0.7788509890150279,0.9492412299833648
"S1,7",1.0,0.6495741670239124,Invalid,0.2867467804764194
"S1,8",0.37236398932726406,0.4553663435526899,0.4388739234029525,0.19771469624721338
"S2,1",0.24150397191306,0.13180799743878613,0.4985548396331535,0.36479503044653094
"S2,3",1.0,0.7996198357974958,0.34618381117940905,0.23839059753013403
"S2,4",1.0,0.20780393038469788,0.9238812691844567,0.9579942367110514
"S2,5",1.0,0.9369311405192212,0.3376759529081556,0.37701357302084604
"S2,6",0.5447373008044916,0.8286676661519065,0.6525728501624536,0.4425691667341667
"S2,7",0.24150397191306,0.34768340794365843,Invalid,0.35834520546240733
"S2,8",0.8596739694983351,0.9461638020314551,0.9696060677326699,0.9100416728033058
"S3,1",0.3972038407802938,0.36349110019769354,0.19482064534042878,0.10249767569562138
"S3,2",1.0,0.7996198357974958,0.34618381117940905,0.23839059753013403
"S3,4",1.0,0.4143406371640833,0.19098574577878258,0.10170326713585752
"S3,5",1.0,0.8146849606624769,0.17694992761443126,0.10337937572056656
"S3,6",0.6665811073830711,0.7035873883284617,0.21112508494990798,0.16940779692885302
"S3,7",0.3972038407802938,0.6207847623155881,Invalid,0.15972157307525517
"S3,8",0.8782853018770392,0.9288155781051889,0.25321448934662444,0.21846635327371236
"S4,1",0.3972038407802938,1.0,0.5347555036315108,0.19849729341982122
"S4,2",1.0,0.20780393038469788,0.9238812691844567,0.9579942367110514
"S4,3",1.0,0.4143406371640833,0.19098574577878258,0.10170326713585752
"S4,5",1.0,0.36011523171805687,0.3604988483955962,0.2111488775873509
"S4,6",0.6665811073830711,0.15158371096500142,0.6925224692282691,0.26251579794857816
"S4,7",0.3972038407802938,0.6905684275192012,Invalid,0.17740866009773745
"S4,8",0.8782853018770392,0.48128363671738705,0.9447005893743312,0.9157284782863843
"S5,1",0.3972038407802938,0.32468316327426977,0.46053435835637613,0.9412668880314925
"S5,2",1.0,0.9369311405192212,0.3376759529081556,0.37701357302084604
"S5,3",1.0,0.8146849606624769,0.17694992761443126,0.10337937572056656
"S5,4",1.0,0.36011523171805687,0.3604988483955962,0.2111488775873509
"S5,6",0.6665811073830711,1.0,0.45466699769003416,0.9033893330058916
"S5,7",0.3972038407802938,0.5150319220482494,Invalid,0.3393894330286521
"S5,8",0.8782853018770392,0.9142652981798944,0.26296284429093014,0.2168202989315468
"S6,1",0.06668800000000007,0.07797078159747611,0.7788509890150279,0.9492412299833648
"S6,2",0.5447373008044916,0.8286676661519065,0.6525728501624536,0.4425691667341667
"S6,3",0.6665811073830711,0.7035873883284617,0.21112508494990798,0.16940779692885302
"S6,4",0.6665811073830711,0.15158371096500142,0.6925224692282691,0.26251579794857816
"S6,5",0.6665811073830711,1.0,0.45466699769003416,0.9033893330058916
"S6,7",0.06668800000000007,0.2543908070667781,Invalid,0.33622583193103495
"S6,8",0.854813088248743,0.8893740251728112,0.6180694695782044,0.26774395255582767
"S7,1",1.0,0.6495741670239124,Invalid,0.2867467804764194
"S7,2",0.24150397191306,0.34768340794365843,Invalid,0.35834520546240733
"S7,3",0.3972038407802938,0.6207847623155881,Invalid,0.15972157307525517
"S7,4",0.3972038407802938,0.6905684275192012,Invalid,0.17740866009773745
"S7,5",0.3972038407802938,0.5150319220482494,Invalid,0.3393894330286521
"S7,6",0.06668800000000007,0.2543908070667781,Invalid,0.33622583193103495
"S7,8",0.37236398932726406,0.6511180012064293,Invalid,0.17206731127162328
"S8,1",0.37236398932726406,0.4553663435526899,0.4388739234029525,0.19771469624721338
"S8,2",0.8596739694983351,0.9461638020314551,0.9696060677326699,0.9100416728033058
"S8,3",0.8782853018770392,0.9288155781051889,0.25321448934662444,0.21846635327371236
"S8,4",0.8782853018770392,0.48128363671738705,0.9447005893743312,0.9157284782863843
"S8,5",0.8782853018770392,0.9142652981798944,0.26296284429093014,0.2168202989315468
"S8,6",0.854813088248743,0.8893740251728112,0.6180694695782044,0.26774395255582767
"S8,7",0.37236398932726406,0.6511180012064293,Invalid,0.17206731127162328
