Ttests: Across Languages- Eng vs. Spanish,Number of letters,Clearpond_Frequency across languages,Freq_COCA
"S1,2",1.0,0.3683265565881726,0.7483000116813525
"S1,3",0.6630881704159126,0.33310444066717715,0.47239694509677055
"S1,4",0.15250228520801448,0.08188821460092882,0.2521452862315454
"S1,5",0.8860547156767139,0.23929833881331217,0.6985077531681617
"S1,6",0.5495687592001903,0.47943106978113137,0.8993390840116274
"S1,7",0.5927081511521777,0.514392566007366,0.4829074498440543
"S1,8",0.933772958094147,,
"S2,1",1.0,0.43399868391023483,0.33109917576129944
"S2,3",0.7174069448238002,0.6066839905169445,0.994566611695952
"S2,4",0.3879928567434612,0.1239896093009655,0.1186823908448081
"S2,5",0.9007837799479623,0.2570786986282678,0.28544592730275015
"S2,6",0.6223833291543435,0.5909789977254176,0.4175689497370102
"S2,7",0.679541083555246,0.4339737593867977,0.7680831804896057
"S2,8",0.947422564760191,,
"S3,1",0.6630881704159126,0.8864034971807713,0.586021418666477
"S3,2",0.7174069448238002,0.37096684495446164,0.3419468265427236
"S3,4",0.23606970723763085,0.2231672277757569,0.09667735003115105
"S3,5",0.8525409376059722,0.28266961153568754,0.24077953809131833
"S3,6",0.9078081296387075,0.41435692134689645,0.3208528225797263
"S3,7",1.0,0.9248397727992312,0.43964837597416223
"S3,8",0.6709166147235957,,
"S4,1",0.15250228520801448,0.15944915196393764,0.38898995911959444
"S4,2",0.3879928567434612,0.39995328368537547,0.3892275612151736
"S4,3",0.23606970723763085,0.11568103130041378,0.15674417356413692
"S4,5",0.4384405949302346,0.35018482088715175,0.31547718355797527
"S4,6",0.17200329195191144,0.39980141017267534,0.3848559453854218
"S4,7",0.14111328125000006,0.28270827671029597,0.44368856084615044
"S4,8",0.427613908537832,,
"S5,1",0.8860547156767139,,
"S5,2",0.9007837799479623,,
"S5,3",0.8525409376059722,,
"S5,4",0.4384405949302346,,
"S5,6",0.7705737190597345,,
"S5,7",0.8388951879080037,,
"S5,8",0.8578609211090735,,
"S6,1",0.5495687592001903,0.4101070847919652,
"S6,2",0.6223833291543435,0.9017674863289498,
"S6,3",0.9078081296387075,0.466089930750041,
"S6,4",0.17200329195191144,0.2760906335381448,
"S6,5",0.7705737190597345,0.6937437771287103,
"S6,7",0.8960692177320336,0.40903203950198236,
"S6,8",0.5772713801348861,,
"S7,1",0.5927081511521777,0.9836217028620138,0.9389147903464451
"S7,2",0.679541083555246,0.4558411960085951,0.4528229682901851
"S7,3",1.0,0.26555332938042014,0.28713029847342947
"S7,4",0.14111328125000006,0.1979828131659217,0.2068724752931936
"S7,5",0.8388951879080037,0.37459731708658905,0.3419378289036614
"S7,6",0.8960692177320336,0.508289350598341,0.42155783662643037
"S7,8",0.627051868375369,,
"S8,1",0.933772958094147,0.22446377626522332,0.23655329984346085
"S8,2",0.947422564760191,0.8378238275711306,0.7156371165520026
"S8,3",0.6709166147235957,0.27956423080397197,0.3285749593855553
"S8,4",0.427613908537832,0.11925537034060622,0.12315661899648156
"S8,5",0.8578609211090735,0.6414843165861767,0.6896870564440392
"S8,6",0.5772713801348861,0.44073652663368895,0.8979889526224547
"S8,7",0.627051868375369,0.22377515180968233,0.3502874741356589
